📋 Showing application logs...
[33mapi-gateway-1           | 2025/11/06 13:06:37 [info] 31#31: *3 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:39 [info] 31#31: *5 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:41 [info] 31#31: *7 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:42 [info] 31#31: *9 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:43 [info] 31#31: *11 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:44 [info] 31#31: *13 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:44 [info] 31#31: *15 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:46 [info] 31#31: *17 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:46 [info] 31#31: *19 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:47 [info] 31#31: *21 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:47 [info] 31#31: *23 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:48 [info] 31#31: *25 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:49 [info] 31#31: *27 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:50 [info] 31#31: *29 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:51 [info] 31#31: *31 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:53 [info] 31#31: *33 client 172.18.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-11-06T13:06:53.723+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="AuthenticationAttempt" hasToken="true"
[33mapi-gateway-1           | 2025/11/06 13:06:55 [info] 31#31: *35 client 172.18.0.1 closed keepalive connection[0m
[33mapi-gateway-1           | 2025/11/06 13:06:57 [info] 31#31: *37 client 172.18.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-11-06T13:06:53.730+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="AuthenticationSuccess" userId="1762414601261" email="alice@paypal.com"
[33mapi-gateway-1           | 2025/11/06 13:06:59 [info] 31#31: *39 client 172.18.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-11-06T13:06:53.730+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="PaymentProcessingAttempt" userId="1762414601261" email="alice@paypal.com" amount="150.75" recipient="sarah@store.com"
payment-service-1       | timestamp="2025-11-06T13:06:53.732+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="79" content="{"amount":150.75,"recipient":"sarah@store.com","description":"Online shopping"}" event="PaymentProcessingSuccess" paymentId="1762414613731" userId="1762414601261" amount="150.75"
payment-service-1       | timestamp="2025-11-06T13:06:55.761+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="77" content="{"amount":25.5,"recipient":"mike@restaurant.com","description":"Lunch bill"}" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-11-06T13:06:55.768+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="77" content="{"amount":25.5,"recipient":"mike@restaurant.com","description":"Lunch bill"}" event="AuthenticationSuccess" userId="1762414601261" email="alice@paypal.com"
payment-service-1       | timestamp="2025-11-06T13:06:55.768+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="77" content="{"amount":25.5,"recipient":"mike@restaurant.com","description":"Lunch bill"}" event="PaymentProcessingAttempt" userId="1762414601261" email="alice@paypal.com" amount="25.5" recipient="mike@restaurant.com"
payment-service-1       | timestamp="2025-11-06T13:06:55.771+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="77" content="{"amount":25.5,"recipient":"mike@restaurant.com","description":"Lunch bill"}" event="PaymentProcessingSuccess" paymentId="1762414615768" userId="1762414601261" amount="25.5"
payment-service-1       | timestamp="2025-11-06T13:06:57.801+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" event="AuthenticationAttempt" hasToken="true"
[33mapi-gateway-1           | 2025/11/06 13:07:01 [info] 31#31: *41 client 172.18.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-11-06T13:06:57.807+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" event="AuthenticationSuccess" userId="1762414601261" email="alice@paypal.com"
