src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.1,172.18.0.5,1196,8080,6,2025-11-05 15:34:25,1.990275,135.65964502392885,2.512215648591275,1.507329389154765,1.00488625943651,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49756875,1.990181,0.0,0.8617600849880943,1.990267,1.990267,0.0,0.9951335,0.9951335,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1197,8080,6,2025-11-05 15:34:25,1.990103,135.6713697733233,2.512432773580061,1.5074596641480367,1.0049731094320244,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49752575,1.990078,0.0,0.8617254433357457,1.990094,1.990094,0.0,0.995047,0.995047,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1198,8080,6,2025-11-05 15:34:25,1.990084,135.67266507343408,2.5124567606191497,1.50747405637149,1.00498270424766,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49752099999999994,1.990063,0.0,0.861719525488137,1.990075,1.990075,0.0,0.9950375,0.9950375,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1199,8080,6,2025-11-05 15:34:25,1.990073,135.67341499532932,2.512470648061654,1.5074823888369924,1.0049882592246617,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49751824999999994,1.990052,0.0,0.8617147623484163,1.990064,1.990064,0.0,0.995032,0.995032,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1200,8080,6,2025-11-05 15:34:25,1.990068,135.67375587165867,2.5124769605862713,1.5074861763517629,1.0049907842345085,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.497517,1.990042,0.0,0.8617097105388799,1.990054,1.990054,0.0,0.995027,0.995027,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1201,8080,6,2025-11-05 15:34:25,1.990059,135.67436945336797,2.5124883232105177,1.5074929939263106,1.004995329284207,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49751474999999995,1.990038,0.0,0.8617087001705899,1.99005,1.99005,0.0,0.995025,0.995025,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1202,8080,6,2025-11-05 15:34:25,1.990017,135.6772329080606,2.51254135014927,1.5075248100895622,1.005016540059708,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49750425,1.989997,0.0,0.8616910909868963,1.990009,1.990009,0.0,0.9950045,0.9950045,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1203,8080,6,2025-11-05 15:34:25,1.990006,135.67798288045364,2.512555238526919,1.5075331431161514,1.0050220954107676,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.4975015,1.989987,0.0,0.861686905195994,1.989998,1.989998,0.0,0.994999,0.994999,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1204,8080,6,2025-11-05 15:34:25,1.989997,135.67859650039674,2.5125666018591986,1.5075399611155194,1.0050266407436794,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49749924999999995,1.989976,0.0,0.8616818533830729,1.989988,1.989988,0.0,0.994994,0.994994,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1205,8080,6,2025-11-05 15:34:25,1.989893,135.6856876223998,2.5126979189333296,1.507618751359998,1.005079167573332,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49747325,1.989832,0.0,0.8616137262640886,1.989884,1.989884,0.0,0.994942,0.994942,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1206,8080,6,2025-11-05 15:34:25,1.989798,135.69216573742662,2.512817884026419,1.5076907304158513,1.0051271536105675,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.4974495,1.989774,0.0,0.8615939518098128,1.989789,1.989789,0.0,0.9948945,0.9948945,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1207,8080,6,2025-11-05 15:34:25,1.98978,135.6933932394536,2.512840615545437,1.5077043693272623,1.0051362462181748,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49744499999999997,1.98976,0.0,0.861588466976549,1.989772,1.989772,0.0,0.994886,0.994886,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1208,8080,6,2025-11-05 15:34:25,1.98977,135.69407519462047,2.5128532443448237,1.5077119466068942,1.0051412977379295,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49744249999999995,1.989749,0.0,0.8615835594997446,1.989761,1.989761,0.0,0.9948805,0.9948805,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1209,8080,6,2025-11-05 15:34:25,1.98976,135.694757156642,2.5128658732711484,1.507719523962689,1.0051463493084594,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49744,1.98974,0.0,0.8615798067225114,1.989752,1.989752,0.0,0.994876,0.994876,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1210,8080,6,2025-11-05 15:34:25,1.989753,135.69523453413564,2.5128747135951044,1.5077248281570625,1.0051498854380418,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49743824999999997,1.98973,0.0,0.8615750435848218,1.989742,1.989742,0.0,0.994871,0.994871,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1211,8080,6,2025-11-05 15:34:25,1.989745,135.695780112527,2.5128848168986475,1.5077308901391886,1.0051539267594591,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49743624999999997,1.989725,0.0,0.8615733115311125,1.989736,1.989736,0.0,0.994868,0.994868,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1212,8080,6,2025-11-05 15:34:25,1.989737,135.69632569530546,2.5128949202834345,1.5077369521700605,1.0051579681133738,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49743425,1.989716,0.0,0.8615692700800021,1.989727,1.989727,0.0,0.9948635,0.9948635,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1213,8080,6,2025-11-05 15:34:25,1.989728,135.69693948117532,2.5129062866884317,1.507743772013059,1.0051625146753727,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.497432,1.989708,0.0,0.8615659503151804,1.989719,1.989719,0.0,0.9948595,0.9948595,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
172.18.0.1,172.18.0.5,1214,8080,6,2025-11-05 15:34:25,1.989721,135.69741687402404,2.5129151272967416,1.507749076378045,1.0051660509186966,3,2,162,108,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,40,20,0,0.49743025,1.989699,0.0,0.8615617645277601,1.989711,1.989711,0.0,0.9948555,0.9948555,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0.6666666666666666,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,2,162,108
