src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.1,172.18.0.5,43384,80,6,2025-11-05 15:05:06,0.002026,523692.0039486673,5429.417571569596,3455.0839091806515,1974.3336623889438,7,4,565,496,153,66,80.71428571428571,29.716346082413903,290,66,124.0,95.89577675789482,290,66,96.45454545454545,65.87503822508967,4339.520661157025,140,80,20,1,0.00020259999999999996,0.000776,0.0,0.00021974812854720746,0.002026,0.000776,0.0,0.00033766666666666667,0.0002326181897922478,0.0017469999999999999,0.00105,0.000244,0.0005823333333333332,0.00034152045652086814,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,96.45454545454545,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.71428571428571,124.0,0,7,4,565,496
172.18.0.1,172.18.0.5,43398,80,6,2025-11-05 15:05:06,0.006571,181403.13498706438,1674.0222188403593,1065.2868665347742,608.7353523055851,7,4,602,590,190,66,86.0,42.60114015912183,384,66,147.5,136.58239271589878,384,66,108.36363636363636,93.88123321736472,8813.685950413224,140,80,20,1,0.0006571,0.004705,0.0,0.0013806384356521441,0.0065710000000000005,0.004797,0.0,0.0010951666666666668,0.0016874636210070491,0.006447,0.004705,0.000336,0.0021490000000000003,0.001859404384921867,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,108.36363636363636,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,147.5,0,7,4,602,590
172.18.0.5,172.18.0.2,36438,3001,6,2025-11-05 15:05:06,0.005095,244749.7546614328,2158.9793915603536,1373.8959764474976,785.0834151128557,7,4,684,563,272,66,97.71428571428571,71.23745861696696,357,66,140.75,124.89470565240146,357,66,113.36363636363636,96.59312296928118,9330.231404958675,140,80,20,1,0.0005095000000000001,0.003526,0.0,0.0010403707271929561,0.005095,0.0036,0.0,0.0008491666666666668,0.0012726364257800505,0.004932,0.003526,0.000175,0.0016439999999999998,0.001398863109814538,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,113.36363636363636,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.71428571428571,140.75,0,7,4,684,563
172.18.0.1,172.18.0.5,43404,80,6,2025-11-05 15:05:07,0.004481,267351.0377147958,2454.8091943762556,1562.1513055121625,892.6578888640929,7,4,605,593,193,66,86.42857142857143,43.64747462129197,387,66,148.25,137.88106287666918,387,66,108.9090909090909,94.92049739885627,9009.900826446281,140,80,20,1,0.0004481,0.003208,0.0,0.0009366157643345536,0.004481,0.003291,0.0,0.0007468333333333334,0.001153660466611482,0.00436,0.003208,0.000385,0.0014533333333333334,0.0012504991892129409,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,108.9090909090909,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.42857142857143,148.25,0,7,4,605,593
172.18.0.5,172.18.0.4,39180,3002,6,2025-11-05 15:05:07,0.004667,267838.0115706021,2356.9745018212984,1499.8928647953717,857.0816370259267,7,4,684,566,272,66,97.71428571428571,71.23745861696696,360,66,141.5,126.1933041012874,360,66,113.63636363636364,97.28241243202721,9463.867768595044,140,80,20,1,0.0004667,0.0025,0.0,0.000829741291005817,0.004667,0.002558,0.0,0.0007778333333333334,0.0009884053515076133,0.004561,0.0025,9.5e-05,0.0015203333333333334,0.001031170963301215,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,113.63636363636364,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.71428571428571,141.5,0,7,4,684,566
172.18.0.1,172.18.0.5,43412,80,6,2025-11-05 15:05:08,3.092234,386.7753863388088,3.5572987037850305,2.263735538772292,1.2935631650127384,7,4,610,586,198,66,87.14285714285714,45.39171910453829,380,66,146.5,134.85084352720972,380,66,108.72727272727273,93.48319334520257,8739.107438016526,140,80,20,1,0.3092234,3.09003,0.0,0.9269355950939849,3.092234,3.090187,0.0,0.5153723333333332,1.1514921882569975,3.0920520000000002,3.09003,0.000475,1.030684,1.456177587174266,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,108.72727272727273,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.14285714285714,146.5,0,7,4,610,586
172.18.0.1,172.18.0.5,44552,80,6,2025-11-05 15:05:13,0.227509,5489.89270754124,48.3497356148548,30.76801357308942,17.58172204176538,7,4,678,571,266,66,96.85714285714286,69.14049582744765,365,66,142.75,128.3576546217638,365,66,113.54545454545455,97.57362128284433,9520.611570247931,140,80,20,1,0.022750899999999998,0.226293,0.0,0.06784759148628637,0.22750900000000002,0.226386,0.0,0.03791816666666666,0.0842855974161989,0.227427,0.226293,0.000381,0.075809,0.10640836523506975,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,113.54545454545455,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.85714285714286,142.75,0,7,4,678,571
172.18.0.5,172.18.0.2,43732,3001,6,2025-11-05 15:05:13,0.225758,6068.444972049718,53.154262528902635,31.006653141859868,22.147609387042763,7,5,760,610,348,66,108.57142857142857,97.80864282999177,338,66,122.0,108.04443530325845,348,66,114.16666666666667,102.41242871622349,10488.305555555557,140,100,20,1,0.020523454545454546,0.225294,0.0,0.06475415245844525,0.22575800000000001,0.225339,0.0,0.03762633333333334,0.08394768601668277,0.225686,0.225294,5.7e-05,0.0564215,0.0974986051092527,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,114.16666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.57142857142857,122.0,0,7,5,760,610
172.18.0.1,172.18.0.5,44566,80,6,2025-11-05 15:05:15,0.218545,5705.918689514746,50.332883387860626,32.03001670136585,18.302866686494774,7,4,676,571,264,66,96.57142857142857,68.44154365558381,365,66,142.75,128.3576546217638,365,66,113.36363636363636,97.29082244606325,9465.504132231403,140,80,20,1,0.0218545,0.21735,0.0,0.06516538837642265,0.218545,0.217408,0.0,0.03642416666666667,0.08093864425686217,0.218418,0.21735,0.000282,0.072806,0.10220824968660797,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,113.36363636363636,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.57142857142857,142.75,0,7,4,676,571
172.18.0.5,172.18.0.2,43734,3001,6,2025-11-05 15:05:15,0.217087,5997.595434088637,50.670929166647475,27.638688636353166,23.032240530294306,6,5,692,610,346,66,115.33333333333333,103.21929190913016,338,66,122.0,108.04443530325845,346,66,118.36363636363636,105.4921563023636,11128.59504132231,120,100,20,1,0.021708700000000004,0.216531,0.0,0.06494079506142499,0.217052,0.216589,0.0,0.0434104,0.0865893428514156,0.217047,0.216531,8.6e-05,0.054261750000000004,0.09368621382406005,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,118.36363636363636,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.33333333333333,122.0,0,6,5,692,610
