src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.1,172.19.0.5,56906,80,6,2025-11-06 21:03:20,4.894108,490.589909335879,4.290873842587863,2.6562552358877247,1.6346186067001383,13,8,1307,1094,280,66,100.53846153846153,75.9560757529441,341,66,136.75,117.9690107613012,341,66,114.33333333333333,95.8244095224044,9182.317460317465,260,160,20,2,0.24470540000000002,4.78909,0.0,1.042769582626258,4.894108,4.78909,0.0,0.4078423333333334,1.3212671217798424,4.893946,4.789103,0.000237,0.699135142857143,1.6700548852654453,2,2,0,0,4,5,0,4,18,0,0,0.6153846153846154,114.33333333333333,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.53846153846153,136.75,0,13,8,1307,1094
172.19.0.1,172.19.0.5,56902,80,6,2025-11-06 21:03:20,0.098799,12510.248079434003,111.3371592829887,70.85091954372008,40.48623973926862,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.0098799,0.096888,0.0,0.02900358529027058,0.098799,0.096916,0.0,0.016466500000000002,0.03597916129627445,0.098349,0.096888,0.000722,0.032783,0.04532908073926347,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56910,80,6,2025-11-06 21:03:20,0.100628,12282.863616488454,109.31351114997814,69.563143459077,39.75036769090114,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.0100628,0.096864,0.0,0.02893777883252272,0.10062800000000001,0.096876,0.0,0.016771333333333333,0.03582757925428708,0.100049,0.096864,0.001309,0.03334966666666667,0.044912012322861794,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56908,80,6,2025-11-06 21:03:20,0.099386,12436.359245769021,110.67957257561427,70.4324552753909,40.24711730022337,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.009938600000000002,0.097302,0.0,0.029122825732404472,0.099386,0.097314,0.0,0.01656433333333333,0.0361138054335027,0.099352,0.097302,0.000945,0.03311733333333333,0.045385460052997394,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56900,80,6,2025-11-06 21:03:20,0.096195,12848.90067051302,114.35105774728416,72.76885493008992,41.582202817194236,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.0096195,0.093565,0.0,0.02798533231265979,0.09619499999999999,0.093579,0.0,0.0160325,0.03468316516097303,0.095846,0.093565,0.000796,0.03194866666666667,0.04357023510252026,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56904,80,6,2025-11-06 21:03:20,0.097547,12670.815094262254,112.76615375152491,71.76027966006131,41.0058740914636,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.009754700000000002,0.094921,0.0,0.028392052507876214,0.097547,0.094939,0.0,0.01625783333333333,0.03519034066054995,0.09748000000000001,0.094921,0.000901,0.03249333333333334,0.044144108223962225,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56976,80,6,2025-11-06 21:03:20,0.100711,12272.740812820844,109.22342147332466,69.50581366484298,39.717607808481695,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.010071100000000001,0.097153,0.0,0.029032912380434726,0.100711,0.097161,0.0,0.016785166666666667,0.03595068154391822,0.100456,0.097153,0.000943,0.03348533333333333,0.04502355536333793,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56986,80,6,2025-11-06 21:03:20,0.099777,12387.62440241739,110.24584824157871,70.15644888100464,40.08939936057408,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.009977699999999999,0.097686,0.0,0.029239365335280446,0.09977699999999999,0.097701,0.0,0.0166295,0.036259831626516595,0.099717,0.097686,0.000368,0.033239,0.04557397731893352,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,56998,80,6,2025-11-06 21:03:20,0.096011,12873.524908604222,114.57020549728676,72.90831258918249,41.66189290810428,7,4,689,547,277,66,98.42857142857143,72.98504179988261,341,66,136.75,117.9690107613012,341,66,112.36363636363636,93.75623395251473,8790.231404958677,140,80,20,1,0.009601100000000001,0.094723,0.0,0.028374954648245698,0.096011,0.094733,0.0,0.016001833333333333,0.035210647591397054,0.095967,0.094723,0.000391,0.031989000000000004,0.0443600377817693,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.36363636363636,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42857142857143,136.75,0,7,4,689,547
172.19.0.1,172.19.0.5,57008,80,6,2025-11-06 21:03:20,0.09085,13615.850302696754,121.07870115575123,77.05008255365988,44.028618602091356,7,4,690,547,278,66,98.57142857142857,73.33457018128266,341,66,136.75,117.9690107613012,341,66,112.45454545454545,93.9161750386178,8820.247933884297,140,80,20,1,0.009085,0.089417,0.0,0.026778715596533005,0.09085,0.089435,0.0,0.015141666666666664,0.03322641714894273,0.090821,0.089417,0.00044,0.030273666666666667,0.04182119918839673,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,112.45454545454545,65495,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.57142857142857,136.75,0,7,4,690,547
