src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.1,172.18.0.5,58252,5355,6,2025-11-06 18:41:15,6.9e-05,3043478.2608695654,43478.260869565216,28985.507246376812,14492.753623188406,2,1,156,54,78,78,78.0,0.0,54,54,54.0,0.0,78,54,70.0,11.313708498984761,128.0,40,20,20,0,3.45e-05,6.9e-05,0.0,3.45e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,70.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,54.0,0,2,1,156,54
172.18.0.1,172.18.0.5,55306,993,6,2025-11-06 18:41:15,3.3e-05,5151515.151515151,90909.0909090909,60606.0606060606,30303.0303030303,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,1.65e-05,3.3e-05,0.0,1.65e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,143,6,2025-11-06 18:41:15,8e-06,21250000.0,375000.0,250000.0,125000.0,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,4e-06,8e-06,0.0,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,5900,6,2025-11-06 18:41:15,6e-06,28333333.333333332,500000.0,333333.3333333333,166666.66666666666,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,3e-06,6e-06,0.0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,135,6,2025-11-06 18:41:15,6e-06,28333333.333333332,500000.0,333333.3333333333,166666.66666666666,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,3e-06,6e-06,0.0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,995,6,2025-11-06 18:41:15,6e-06,28333333.333333332,500000.0,333333.3333333333,166666.66666666666,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,3e-06,6e-06,0.0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,587,6,2025-11-06 18:41:15,8e-06,21250000.0,375000.0,250000.0,125000.0,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,4e-06,8e-06,0.0,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,256,6,2025-11-06 18:41:15,7e-06,24285714.285714287,428571.4285714286,285714.28571428574,142857.14285714287,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,3.5e-06,7e-06,0.0,3.5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,1720,6,2025-11-06 18:41:15,6e-06,28333333.333333332,500000.0,333333.3333333333,166666.66666666666,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,3e-06,6e-06,0.0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
172.18.0.1,172.18.0.5,55306,8080,6,2025-11-06 18:41:15,7e-06,24285714.285714287,428571.4285714286,285714.28571428574,142857.14285714287,2,1,116,54,58,58,58.0,0.0,54,54,54.0,0.0,58,54,56.666666666666664,1.8856180831641267,3.5555555555555554,40,20,20,0,3.5e-06,7e-06,0.0,3.5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,56.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,54.0,0,2,1,116,54
