src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.3,172.19.0.2,32958,5000,2048,2025-06-13 12:04:45,3.570123,671.1253365780394,7.002559855780879,3.641331125006057,3.361228730774822,13,12,1136,1260,160,72,87.38461538461539,31.136272346273273,238,72,105.0,60.08604940694082,238,72,95.84,48.10960818797011,2314.5344000000005,260,240,20,2,0.14875512500000002,2.791981,0.0,0.5725810406166182,3.570079,2.792258,0.0,0.2975065833333333,0.7820384541452611,3.569984,2.791995,1e-06,0.324544,0.8113351827174087,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769231,95.84,64240,65160,0,0,0,0,0,0,0,0,0,0,380.0,4.0,0,3.04E+6,87.38461538461539,105.0,0,13,12,1136,1260
172.19.0.3,172.19.0.2,32962,5000,2048,2025-06-13 12:04:46,3.692737,389.95465964676066,4.6036313986075905,2.437216622792254,2.166414775815337,9,8,848,592,160,72,94.22222222222223,35.33263451440318,80,72,74.0,3.4641016151377544,160,72,84.70588235294117,27.720802776514144,768.4429065743943,180,160,20,2,0.23079606250000004,3.687037,0.0,0.8923982137388603,3.6926989999999997,3.688157,0.0,0.46158737499999997,1.2195295244790034,3.6926360000000003,3.687037,1e-06,0.5275194285714286,1.2898685279376185,2,0,0,0,4,5,0,2,14,0,0,0.8888888888888888,84.70588235294117,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.22222222222223,74.0,0,9,8,848,592
172.19.0.3,172.19.0.2,32968,5000,2048,2025-06-13 12:04:46,3.69198,390.034615572132,4.604575322726559,2.437716347325825,2.1668589754007335,9,8,848,592,160,72,94.22222222222223,35.33263451440318,80,72,74.0,3.4641016151377544,160,72,84.70588235294117,27.720802776514144,768.4429065743943,180,160,20,2,0.23074875,3.68697,0.0,0.8923930218831905,3.6919560000000002,3.687856,0.0,0.4614945,1.219450727491685,3.69193,3.68697,1e-06,0.5274185714285714,1.2898822004977106,2,0,0,0,4,5,0,2,14,0,0,0.8888888888888888,84.70588235294117,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.22222222222223,74.0,0,9,8,848,592
172.19.0.3,172.19.0.2,32982,5000,2048,2025-06-13 12:04:46,3.691548,390.080259013292,4.605114168906919,2.438001618833075,2.167112550073844,9,8,848,592,160,72,94.22222222222223,35.33263451440318,80,72,74.0,3.4641016151377544,160,72,84.70588235294117,27.720802776514144,768.4429065743943,180,160,20,2,0.23072175,3.68692,0.0,0.8923870461395591,3.691524,3.687601,0.0,0.4614405,1.219374715789203,3.6915310000000003,3.68692,1e-06,0.5273615714285714,1.2898850060581655,2,0,0,0,4,5,0,2,14,0,0,0.8888888888888888,84.70588235294117,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.22222222222223,74.0,0,9,8,848,592
172.19.0.3,172.19.0.2,32996,5000,2048,2025-06-13 12:04:46,3.69127,390.1096370625828,4.605460993099936,2.4381852316411425,2.1672757614587934,9,8,848,592,160,72,94.22222222222223,35.33263451440318,80,72,74.0,3.4641016151377544,160,72,84.70588235294117,27.720802776514144,768.4429065743943,180,160,20,2,0.230704375,3.68687,0.0,0.8923786080837462,3.691246,3.687372,0.0,0.46140574999999995,1.2193012815735649,3.6912559999999996,3.68687,1e-06,0.5273222857142857,1.2898806185304474,2,0,0,0,4,5,0,2,14,0,0,0.8888888888888888,84.70588235294117,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.22222222222223,74.0,0,9,8,848,592
172.19.0.3,172.19.0.2,33006,5000,2048,2025-06-13 12:04:46,3.690884,390.1504355054236,4.605942641383473,2.438440221908898,2.167502419474576,9,8,848,592,160,72,94.22222222222223,35.33263451440318,80,72,74.0,3.4641016151377544,160,72,84.70588235294117,27.720802776514144,768.4429065743943,180,160,20,2,0.23068025,3.686749,0.0,0.8923535832837999,3.69083,3.686989,0.0,0.46135375,1.219176161967965,3.69087,3.686749,1e-06,0.5272671428571428,1.2898537255278686,2,0,0,0,4,5,0,2,14,0,0,0.8888888888888888,84.70588235294117,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.22222222222223,74.0,0,9,8,848,592
172.19.0.3,172.19.0.2,33016,5000,2048,2025-06-13 12:04:46,3.690681,312.13751608442993,3.522385164147213,1.896668934540807,1.6257162296064058,7,6,704,448,160,72,100.57142857142857,37.731597758215266,80,72,74.66666666666667,3.7712361663282534,160,72,88.61538461538461,30.658261432815138,939.9289940828402,140,120,20,2,0.30755675,3.686881,0.0,1.018905124388112,0.003791,0.003765,0.0,0.0006318333333333333,0.0014012183290107061,3.690668,3.686881,0.0,0.7381336000000001,1.4743744285047269,2,0,0,0,0,5,2,2,10,0,0,0.8571428571428571,88.61538461538461,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.57142857142857,74.66666666666667,0,7,6,704,448
172.19.0.3,172.19.0.2,33024,5000,2048,2025-06-13 12:04:46,3.690655,312.1397150370327,3.522409978716515,1.8966822962319696,1.6257276824845455,7,6,704,448,160,72,100.57142857142857,37.731597758215266,80,72,74.66666666666667,3.7712361663282534,160,72,88.61538461538461,30.658261432815138,939.9289940828402,140,120,20,2,0.30755458333333335,3.686899,0.0,1.0189111920234968,0.003747,0.003719,0.0,0.0006245000000000001,0.0013839308448522034,3.690641,3.686899,0.0,0.7381282,1.4743861112766086,2,0,0,0,0,5,2,2,10,0,0,0.8571428571428571,88.61538461538461,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.57142857142857,74.66666666666667,0,7,6,704,448
172.19.0.3,172.19.0.2,33038,5000,2048,2025-06-13 12:04:46,3.69058,312.14605834313306,3.522481561163828,1.8967208406266765,1.6257607205371511,7,6,704,448,160,72,100.57142857142857,37.731597758215266,80,72,74.66666666666667,3.7712361663282534,160,72,88.61538461538461,30.658261432815138,939.9289940828402,140,120,20,2,0.30754833333333337,3.686887,0.0,1.0189094410781667,0.003685,0.003656,0.0,0.0006141666666666666,0.0013603775721794625,3.690565,3.686887,0.0,0.738113,1.4743876871367314,2,0,0,0,0,5,2,2,10,0,0,0.8571428571428571,88.61538461538461,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.57142857142857,74.66666666666667,0,7,6,704,448
172.19.0.3,172.19.0.2,33048,5000,2048,2025-06-13 12:04:46,3.690517,312.1513869195021,3.522541692667992,1.896753219128919,1.6257884735390733,7,6,704,448,160,72,100.57142857142857,37.731597758215266,80,72,74.66666666666667,3.7712361663282534,160,72,88.61538461538461,30.658261432815138,939.9289940828402,140,120,20,2,0.30754308333333336,3.686871,0.0,1.0189061862663853,0.0036339999999999996,0.003606,0.0,0.0006056666666666667,0.0013418162649516843,3.690503,3.686871,1e-06,0.7381006,1.4743858685688223,2,0,0,0,0,5,2,2,10,0,0,0.8571428571428571,88.61538461538461,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.57142857142857,74.66666666666667,0,7,6,704,448
