Time,Source IP,Destination IP,Protocol,Packet Length
"""Jun 13"," 2025 12:04:45.770865000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:45.770877000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:45.771004000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:45.771006000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:45.771039000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:45.771041000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:45.771158000 IST""","""172.19.0.3""","""172.19.0.2""","""HTTP""","""160"""
"""Jun 13"," 2025 12:04:45.771160000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""160"""
"""Jun 13"," 2025 12:04:45.771176000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:45.771177000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.548540000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""238"""
"""Jun 13"," 2025 12:04:46.548554000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""238"""
"""Jun 13"," 2025 12:04:46.548609000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.548611000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.548664000 IST""","""172.19.0.2""","""172.19.0.3""","""HTTP/JSON""","""96"""
"""Jun 13"," 2025 12:04:46.548665000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""96"""
"""Jun 13"," 2025 12:04:46.548677000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.548679000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549113000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549137000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549214000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549217000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549259000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549261000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549606000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549612000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549656000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549657000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549686000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549688000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549821000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549822000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549838000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549839000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549851000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549852000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.549903000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549904000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549917000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549918000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.549929000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
