src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.2,172.19.0.4,37074,9092,6,2025-11-17 20:19:16,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
172.19.0.2,172.19.0.12,45922,80,6,2025-11-17 20:19:16,0.007593,175424.7333069933,1448.7027525352298,921.9017516133281,526.8010009219017,7,4,635,697,223,66,90.71428571428571,54.1181624799298,491,66,174.25,182.90485914813746,491,66,121.0909090909091,125.07485362079964,15643.71900826446,140,80,20,1,0.0007592999999999999,0.005094,0.0,0.0015613215588084343,0.007593,0.005094,0.0,0.0012655,0.001857480439556049,0.0074990000000000005,0.005231,0.000234,0.002499666666666667,0.00206641982396823,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,121.0909090909091,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71428571428571,174.25,0,7,4,635,697
172.19.0.2,172.19.0.4,40372,9092,6,2025-11-17 20:19:16,8.922708,19770.79155789924,51.89007642074581,29.699503782932265,22.190572637813542,265,198,149877,26532,779,66,565.5735849056604,290.222132330902,134,134,134.0,0.0,779,66,381.0129589632829,306.2639776763341,93797.62402213005,5300,3960,20,199,0.01931322077922078,0.179011,0.0,0.04295096456782123,8.922708,0.179011,0.0,0.033798136363636364,0.052507234677026886,8.879741,0.220558,0.006716,0.04507482741116751,0.07429265741810778,199,198,0,0,0,0,0,397,463,0,0,0.7471698113207547,381.0129589632829,63,43264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.5735849056604,134.0,0,265,198,149877,26532
172.19.0.2,172.19.0.12,45930,80,6,2025-11-17 20:19:16,0.006678,200359.3890386343,1647.1997604073076,1048.2180293501049,598.9817310572028,7,4,638,700,226,66,91.14285714285714,55.16579833667277,494,66,175.0,184.20369160253006,494,66,121.63636363636364,126.10477081831795,15902.413223140495,140,80,20,1,0.0006678,0.00443,0.0,0.0013543829443698704,0.006678,0.00443,0.0,0.001113,0.001610477154965778,0.0066029999999999995,0.004677,0.000162,0.002201,0.001868962813969288,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,121.63636363636364,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.14285714285714,175.0,0,7,4,638,700
172.19.0.2,172.19.0.12,45936,80,6,2025-11-17 20:19:16,0.00644,209316.7701863354,1708.0745341614906,1086.9565217391303,621.1180124223602,7,4,643,705,231,66,91.85714285714286,56.912033805134165,499,66,176.25,186.36841873021297,499,66,122.54545454545455,127.82613449978459,16339.520661157021,140,80,20,1,0.000644,0.004241,0.0,0.0013113329096762576,0.0064399999999999995,0.004241,0.0,0.0010733333333333333,0.0015593241769718345,0.006364000000000001,0.004401,0.00014,0.002121333333333333,0.0017522903742118647,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,122.54545454545455,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.85714285714286,176.25,0,7,4,643,705
172.19.0.2,172.19.0.12,45946,80,6,2025-11-17 20:19:16,0.010995,143883.58344702137,1182.355616189177,727.6034561164166,454.7521600727604,8,5,816,766,278,66,102.0,69.19537556802477,494,66,153.2,170.42816668614375,494,66,121.6923076923077,121.40167570468425,14738.366863905323,160,100,20,2,0.00091625,0.007533,0.0,0.002128058118136501,0.010995,0.007533,0.0,0.0015707142857142857,0.0026049589914121057,0.010875,0.00781,7.2e-05,0.00271875,0.0031249577097138452,2,1,0,0,2,3,0,3,11,0,0,0.625,121.6923076923077,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0,153.2,0,8,5,816,766
172.19.0.2,172.19.0.12,45954,80,6,2025-11-17 20:19:16,0.010061,156644.46874068183,1292.118079713746,795.1495875161514,496.9684921975946,8,5,813,763,275,66,101.625,68.2421011912734,491,66,152.6,169.22836641650832,491,66,121.23076923076923,120.39751712629923,14495.562130177517,160,100,20,2,0.0008384166666666667,0.00683,0.0,0.0019488254350733644,0.010061,0.00683,0.0,0.0014372857142857143,0.0023840370751123407,0.009962,0.007016,4.6e-05,0.0024905,0.002817846207655769,2,1,0,0,2,3,0,3,11,0,0,0.625,121.23076923076923,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.625,152.6,0,8,5,813,763
172.19.0.2,172.19.0.12,45964,80,6,2025-11-17 20:19:16,0.006887,229127.3413677944,1887.6143458690287,1161.6088282270946,726.005517641934,8,5,810,768,280,66,101.25,69.54090522850562,496,66,153.6,171.22803508771568,496,66,121.38461538461539,122.07030664053241,14901.15976331361,160,100,20,2,0.0005739166666666666,0.004435,0.0,0.001262047638980223,0.006887,0.004435,0.0,0.0009838571428571429,0.0015309115331883089,0.006803,0.004645,7.2e-05,0.00170075,0.001829689642398404,2,1,0,0,2,3,0,3,11,0,0,0.625,121.38461538461539,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.25,153.6,0,8,5,810,768
172.19.0.2,172.19.0.12,45970,80,6,2025-11-17 20:19:16,0.010442,127561.769775905,1053.438038689906,670.3696609844858,383.0683777054204,7,4,635,697,223,66,90.71428571428571,54.1181624799298,491,66,174.25,182.90485914813746,491,66,121.0909090909091,125.07485362079964,15643.71900826446,140,80,20,1,0.0010442,0.006918,0.0,0.002132220195008011,0.010442,0.006918,0.0,0.0017403333333333333,0.002534038059873783,0.010334,0.007266,0.000172,0.0034446666666666666,0.002921983953108268,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,121.0909090909091,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71428571428571,174.25,0,7,4,635,697
172.19.0.2,172.19.0.12,45972,80,6,2025-11-17 20:19:16,0.010979,121869.02267966118,1001.9127425084253,637.5808361417252,364.3319063667001,7,4,638,700,226,66,91.14285714285714,55.16579833667277,494,66,175.0,184.20369160253006,494,66,121.63636363636364,126.10477081831795,15902.413223140495,140,80,20,1,0.0010979000000000002,0.006191,0.0,0.002093123477007508,0.010979000000000001,0.006191,0.0,0.0018298333333333333,0.00246106795359702,0.010860999999999999,0.006435,0.000249,0.003620333333333333,0.002555915665449251,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,121.63636363636364,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.14285714285714,175.0,0,7,4,638,700
