src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.19.0.12,172.19.0.4,40908,9092,6,2025-11-23 19:08:33,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,66.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
172.19.0.4,172.19.0.12,9092,39730,6,2025-11-23 19:08:33,4.019172,660.086206810756,6.966609042857583,4.727341850510503,2.2392671923470804,19,9,1474,1179,88,66,77.57894736842105,10.984753977427001,131,131,131.0,0.0,131,66,94.75,26.539222994331563,704.3303571428571,380,180,20,10,0.14885822222222223,0.501276,0.0,0.2283965350673373,4.019172,0.501276,0.0,0.2232873333333334,0.24825078053362803,4.01779,0.503017,0.500622,0.50222375,0.0008879256373706154,10,9,0,0,0,0,0,19,28,0,0,0.47368421052631576,94.75,50476,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.57894736842105,131.0,0,19,9,1474,1179
172.19.0.12,172.19.0.4,39736,9092,6,2025-11-23 19:08:33,3.000755,407.2308469035293,3.3324946555116965,2.3327462588581875,0.9997483966535089,7,3,955,267,220,66,136.42857142857142,62.451940706107635,107,80,89.0,12.727922061357855,220,66,122.2,57.01894422032032,3251.16,140,60,20,4,0.33341722222222225,2.073755,0.0,0.6793890711595688,3.000755,2.073755,0.0,0.5001258333333333,0.7803710675491535,2.999849,2.074077,0.925772,1.4999245,0.5741525,4,3,0,0,0,0,0,7,10,0,0,0.42857142857142855,122.2,63,50476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.42857142857142,89.0,0,7,3,955,267
172.19.0.1,172.19.0.14,2016,80,6,2025-11-23 19:08:37,0.339205,477.5872997155113,8.84420925399095,8.84420925399095,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.1696025,0.339205,0.0,0.1696025,0.339205,0.339205,0.0,0.1696025,0.1696025,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
172.19.0.1,172.19.0.14,2017,80,6,2025-11-23 19:08:37,0.339176,477.6281340660896,8.844965445668326,8.844965445668326,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.169588,0.339176,0.0,0.169588,0.339176,0.339176,0.0,0.169588,0.169588,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
172.19.0.1,172.19.0.14,2018,80,6,2025-11-23 19:08:37,0.339167,477.6408082154219,8.845200152137442,8.845200152137442,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.1695835,0.339167,0.0,0.1695835,0.339167,0.339167,0.0,0.1695835,0.1695835,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
172.19.0.1,172.19.0.14,2019,80,6,2025-11-23 19:08:37,0.33916,477.65066635216414,8.845382710225262,8.845382710225262,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.16958,0.33916,0.0,0.16958,0.33916,0.33916,0.0,0.16958,0.16958,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
172.19.0.1,172.19.0.14,2020,80,6,2025-11-23 19:08:37,0.339154,477.6591165075452,8.845539194584171,8.845539194584171,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.169577,0.339154,0.0,0.169577,0.339154,0.339154,0.0,0.169577,0.169577,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
172.19.0.1,172.19.0.14,2021,80,6,2025-11-23 19:08:37,0.339146,477.670383846485,8.845747849008982,8.845747849008982,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.169573,0.339146,0.0,0.169573,0.339146,0.339146,0.0,0.169573,0.169573,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
172.19.0.1,172.19.0.14,2022,80,6,2025-11-23 19:08:37,0.33914,477.6788346995341,8.84590434628767,8.84590434628767,0.0,3,0,162,0,54,54,54.0,0.0,0,0,0,0.0,54,54,54.0,0.0,0.0,60,0,20,0,0.16957,0.33914,0.0,0.16957,0.33914,0.33914,0.0,0.16957,0.16957,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,54.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,3,0,162,0
